eventType,n_intervals,interval_min_s,interval_p5_s,interval_p25_s,interval_median_s,interval_mean_s,interval_p75_s,interval_p95_s,interval_max_s,records_per_active_minute,burst_pairs,long_gaps
PuzzlePieceVisibleEvent,3409,0.0,0.0,0.0,0.033,2.231,0.1,0.854,2264.45,26.89,2171,5
InputEvent,3181,0.0,0.066,0.2,0.467,3.171,1.065,7.637,447.102,18.92,147,0
DialogueEvent,2507,0.0,0.001,0.002,0.667,4.045,2.251,16.224,278.012,14.83,759,0
PlayerPositionEvent,962,9.968,9.972,10.003,10.005,10.295,10.005,10.007,67.567,5.83,0,0
argumentationNodeEvent,742,0.001,0.033,0.05,0.234,12.785,0.801,3.902,3252.734,4.69,186,5
ObjectInterEvent,239,0.0,1.12,2.692,6.103,42.558,25.324,188.478,941.325,1.41,4,2
questEvent,81,0.0,0.001,4.103,68.877,124.807,191.103,498.848,814.882,0.48,15,2
Soil Key Puzzle,73,0.2,0.266,0.667,1.001,64.727,2.734,12.552,2601.182,0.93,0,3
TopographicMapEvent,64,0.004,0.088,1.299,2.5,67.301,10.447,300.568,1742.369,0.89,4,3
argumentationAnswerEvent,49,3.3,3.655,5.002,9.171,193.544,22.244,1259.694,3374.957,0.31,0,5
WaterChamberEvent,42,0.433,0.97,1.992,6.386,11.966,10.697,47.406,63.096,5.01,0,0
soilMachine,35,0.534,0.815,1.434,3.335,16.44,6.636,109.75,180.984,3.65,0,0
gameWindowUnfocusEvent,34,0.0,9.267,78.541,208.783,293.96,293.075,987.469,1647.516,0.2,1,3
gameWindowFocusEvent,32,18.473,23.018,96.445,198.207,312.982,379.324,1060.297,1739.508,0.19,0,3
argumentationEvent,17,0.032,0.032,8.771,114.425,558.17,740.286,2423.79,3245.497,0.11,2,5
argumentationToolEvent,11,0.501,0.559,0.683,0.983,381.248,399.189,1688.332,2275.824,0.16,0,3
gameStartEvent,7,56.591,217.365,726.992,891.96,1249.355,1828.582,2583.078,2685.784,0.05,0,5
TerasGardenBox,5,0.867,0.887,0.967,1.134,6.563,13.039,16.054,16.808,9.14,0,0
EndOfUnit,4,1473.244,1584.44,2029.224,2296.064,2183.983,2450.823,2626.613,2670.56,0.03,0,4
DEBUGMenu,3,4.09,4.189,4.588,5.085,1400.906,2099.314,3774.698,4193.544,0.04,0,1
SolarStillDesignEvent,3,1.238,1.304,1.57,1.901,1.847,2.151,2.351,2.401,32.49,0,0
crash,0,,,,,,,,,0.0,0,0
chatEvent,1,1000.434,1000.434,1000.434,1000.434,1000.434,1000.434,1000.434,1000.434,0.06,0,1
