status,severity,category,event_type,field,summary,observed,expected,evidence,examples,spec_source
WARNING,Medium,coverage,DaniEvent,,expected event type absent although its content was played — possible logging failure,,"appears in Unit(s) [1, 2, 3, 4, 5]","coverage: Unit1=complete, Unit2=complete, Unit3=complete, Unit4=complete, Unit5=complete",,08-13-26/Investigation-results/dani-event-investigation.md
WARNING,Medium,duplicates,DialogueEvent,,"exact duplicate records (same timestamp, scene and data)","2 group(s), 2 redundant record(s)",each gameplay moment logged once,,wenyi090326-3.stratalog.logdata.json[9523] _id=6a9c8da0485cab4c95400a70 ts=2026-09-05T21:46:08.7650000Z == wenyi090326-3.stratalog.logdata.json[9524] _id=6a9c8da0485cab4c95400a72 ts=2026-09-05T21:46:08.7650000Z | wenyi090326-3.stratalog.logdata.json[5228] _id=6a9c9bbe485cab4c95402c06 ts=2026-09-05T22:46:23.0890000Z == wenyi090326-3.stratalog.logdata.json[5229] _id=6a9c9bbf485cab4c95402c08 ts=2026-09-05T22:46:23.0890000Z,
WARNING,Medium,duplicates,ObjectInterEvent,,"exact duplicate records (same timestamp, scene and data)","2 group(s), 2 redundant record(s)",each gameplay moment logged once,,wenyi090326-3.stratalog.logdata.json[2638] _id=6a9ca4b9485cab4c95404048 ts=2026-09-05T23:24:41.3560000Z == wenyi090326-3.stratalog.logdata.json[2637] _id=6a9ca4b9485cab4c9540404a ts=2026-09-05T23:24:41.3560000Z | wenyi090326-3.stratalog.logdata.json[2607] _id=6a9ca4d3485cab4c95404086 ts=2026-09-05T23:25:08.0350000Z == wenyi090326-3.stratalog.logdata.json[2606] _id=6a9ca4d3485cab4c95404088 ts=2026-09-05T23:25:08.0350000Z,
WARNING,Medium,duplicates,PuzzlePieceVisibleEvent,,"exact duplicate records (same timestamp, scene and data)","71 group(s), 108 redundant record(s)",each gameplay moment logged once,,wenyi090326-3.stratalog.logdata.json[9191] _id=6a9c8fc0485cab4c95400d0e ts=2026-09-05T21:55:11.4880000Z == wenyi090326-3.stratalog.logdata.json[9192] _id=6a9c8fc0485cab4c95400d10 ts=2026-09-05T21:55:11.4880000Z | wenyi090326-3.stratalog.logdata.json[9186] _id=6a9c8fc0485cab4c95400d18 ts=2026-09-05T21:55:11.9900000Z == wenyi090326-3.stratalog.logdata.json[9185] _id=6a9c8fc0485cab4c95400d1a ts=2026-09-05T21:55:11.9900000Z | wenyi090326-3.stratalog.logdata.json[9158] _id=6a9c8fc3485cab4c95400d4a ts=2026-09-05T21:55:13.5560000Z == wenyi090326-3.stratalog.logdata.json[9159] _id=6a9c8fc3485cab4c95400d4c ts=2026-09-05T21:55:13.5560000Z,
WARNING,Medium,duplicates,questEvent,,"exact duplicate records (same timestamp, scene and data)","1 group(s), 1 redundant record(s)",each gameplay moment logged once,,wenyi090326-3.stratalog.logdata.json[199] _id=6a9cac73485cab4c9540535a ts=2026-09-05T23:57:39.4690000Z == wenyi090326-3.stratalog.logdata.json[198] _id=6a9cac73485cab4c9540535c ts=2026-09-05T23:57:39.4690000Z,
WARNING,Medium,regression,DaniEvent,,event type present in baseline 08-31-26 but absent now,0 records this build,42 records in baseline; check coverage before treating as a logging regression,,,
WARNING,Medium,regression,TerasGardenBox,,baseline field(s) absent this build,data.boxID,schema change or conditional content — review,,,
WARNING,Medium,regression,TerasGardenBox,,median interval between records changed substantially,1.134s median,4.718s in 08-31-26,regression candidate requiring review,,
WARNING,Medium,regression,WaterChamberEvent,,median interval between records changed substantially,6.386s median,16.302s in 08-31-26,regression candidate requiring review,,
WARNING,Medium,regression,argumentationAnswerEvent,,median interval between records changed substantially,9.171s median,1006.195s in 08-31-26,regression candidate requiring review,,
WARNING,Medium,regression,argumentationEvent,,median interval between records changed substantially,114.425s median,36.299s in 08-31-26,regression candidate requiring review,,
WARNING,Medium,regression,soilMachine,,median interval between records changed substantially,3.335s median,37.414s in 08-31-26,regression candidate requiring review,,
