eventType,record_count,percent_of_total,session_count,first_timestamp,last_timestamp,active_span,scene_count,observed_scenes,eventKey_records,data_fields,null_value_count
PuzzlePieceVisibleEvent,3410,29.56,1,2026-09-05T21:37:16.727000+00:00,2026-09-05T23:44:03.614000+00:00,2h 6m,4,Unit 2 Prod (Refactor); Unit 3 Dungeon Dev; Unit 4 Dev; Unit 5 Dev - Dungeon,0,actionType; pieceId; timestamp,0
InputEvent,3182,27.58,1,2026-09-05T21:12:09.234000+00:00,2026-09-06T00:00:16.993000+00:00,2h 48m,9,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,0,Value; actionType; key; playerOrDrone,0
DialogueEvent,2508,21.74,1,2026-09-05T21:11:02.332000+00:00,2026-09-06T00:00:03.520000+00:00,2h 49m,9,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,1539,conversationId; dialogueEventType; nodeId,0
PlayerPositionEvent,974,8.44,1,2026-09-05T21:10:45.693000+00:00,2026-09-06T00:00:15.757000+00:00,2h 49m,9,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,0,position,0
argumentationNodeEvent,743,6.44,1,2026-09-05T21:18:37.536000+00:00,2026-09-05T23:56:44.208000+00:00,2h 38m,5,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev - Anderson Base; Unit 5 Dev,0,actionType; argumentationTitle; nodeName,0
ObjectInterEvent,240,2.08,1,2026-09-05T21:10:45.695000+00:00,2026-09-06T00:00:16.993000+00:00,2h 49m,9,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,0,actionType; objectName,0
questEvent,82,0.71,1,2026-09-05T21:11:02.328000+00:00,2026-09-05T23:59:31.704000+00:00,2h 48m,9,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,82,questEventType; questID; questName; questSuccessOrFailure,0
Soil Key Puzzle,74,0.64,1,2026-09-05T21:40:28.157000+00:00,2026-09-05T22:59:13.192000+00:00,1h 18m,3,Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev,0,Soil Key Puzzle Status; Unit; actionType; currentSoilType; isCorrectSelection; waterLevelStatus; waterRetentionChange,0
TopographicMapEvent,65,0.56,1,2026-09-05T21:37:34.703000+00:00,2026-09-05T22:49:21.936000+00:00,1h 11m,2,Unit 2 Prod (Refactor); Unit 3 Dev,0,actionType; featureUsed; legendName; location,0
argumentationAnswerEvent,50,0.43,1,2026-09-05T21:18:41.988000+00:00,2026-09-05T23:56:45.641000+00:00,2h 38m,5,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev - Anderson Base; Unit 5 Dev,0,actionType; answerSubmitted; argumentationTitle,0
WaterChamberEvent,43,0.37,1,2026-09-05T23:43:57.817000+00:00,2026-09-05T23:52:20.400000+00:00,8m 22s,1,Unit 5 Dev - Dungeon,0,actionType; floor; machineNumber; machineType; room,0
soilMachine,36,0.31,1,2026-09-05T23:10:32.540000+00:00,2026-09-05T23:20:07.925000+00:00,9m 35s,1,Unit 4 Dev - Dungeon,0,actionType; canisterType; floor; machine; row,0
gameWindowUnfocusEvent,35,0.3,1,2026-09-05T21:10:43.298000+00:00,2026-09-05T23:57:17.929000+00:00,2h 46m,11,MainMenu; PodsEscapingCopernicus Cutscene; Transition; Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev,0,<empty>,0
gameWindowFocusEvent,33,0.29,1,2026-09-05T21:10:45.141000+00:00,2026-09-05T23:57:40.562000+00:00,2h 46m,11,MainMenu; PodsEscapingCopernicus Cutscene; Transition; Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 3 Dungeon Dev; Unit 4 Dev; Unit 4 Dev - Anderson Base; Unit 4 Dev - Dungeon; Unit 5 Dev,0,<empty>,0
argumentationEvent,18,0.16,1,2026-09-05T21:18:36.759000+00:00,2026-09-05T23:56:45.646000+00:00,2h 38m,5,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev - Anderson Base; Unit 5 Dev,0,actionType; argumentationDescription; argumentationTitle,0
argumentationToolEvent,12,0.1,1,2026-09-05T21:18:36.074000+00:00,2026-09-05T22:28:29.800000+00:00,1h 9m,3,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev,0,actionType; argumentationTitle; toolName,0
gameStartEvent,8,0.07,1,2026-09-05T21:10:39.937000+00:00,2026-09-05T23:36:25.419000+00:00,2h 25m,1,MainMenu,0,<empty>,0
TerasGardenBox,6,0.05,1,2026-09-05T23:32:25.220000+00:00,2026-09-05T23:32:58.035000+00:00,32.8s,1,Unit 4 Dev,0,actionType; boxId; soilType,0
EndOfUnit,5,0.04,1,2026-09-05T21:34:41.060000+00:00,2026-09-06T00:00:16.991000+00:00,2h 25m,5,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev; Unit 5 Dev,0,Unit,0
DEBUGMenu,4,0.03,1,2026-09-05T22:36:53.195000+00:00,2026-09-05T23:46:55.914000+00:00,1h 10m,2,Unit 3 Dev; Unit 5 Dev - Dungeon,0,actionType; isOpened,0
SolarStillDesignEvent,4,0.03,1,2026-09-05T23:58:08.180000+00:00,2026-09-05T23:58:13.720000+00:00,5.5s,1,Unit 5 Dev,0,actionType; designSelections; featureUsed; selectedOption,0
crash,3,0.03,1,,,?,1,<missing sceneName>,0,isPWA; message; phase; stack; type; unitId; workspace,0
chatEvent,2,0.02,1,2026-09-05T23:36:27.269000+00:00,2026-09-05T23:53:07.703000+00:00,16m 40s,2,Unit 5 Dev; Unit 5 Dev - Dungeon,0,actionType; chatID,0
