eventType,field_path,records_present,records_total,types,null_count,empty_string_count,unique_values,values_truncated,numeric_range
DEBUGMenu,data.actionType,4,4,string:4,0,0,1,False,
DEBUGMenu,data.isOpened,4,4,bool:4,0,0,2,False,
DialogueEvent,data.conversationId,2508,2508,number:2508,0,0,57,False,8 .. 118
DialogueEvent,data.dialogueEventType,2508,2508,string:2508,0,0,3,False,
DialogueEvent,data.nodeId,1539,2508,number:1539,0,0,227,False,0 .. 290
EndOfUnit,data.Unit,5,5,string:5,0,0,5,False,
InputEvent,data.Value,3182,3182,string:3182,0,0,1,False,
InputEvent,data.actionType,3182,3182,string:3182,0,0,9,False,
InputEvent,data.key,3182,3182,string:3182,0,1,12,False,
InputEvent,data.playerOrDrone,3182,3182,string:3182,0,0,2,False,
ObjectInterEvent,data.actionType,240,240,string:240,0,0,46,False,
ObjectInterEvent,data.objectName,240,240,string:240,0,0,109,False,
PlayerPositionEvent,data.position,974,974,object:974,0,0,0,False,
PlayerPositionEvent,data.position.x,974,974,number:974,0,0,402,False,-706.223 .. 1559.25
PlayerPositionEvent,data.position.y,974,974,number:974,0,0,320,False,-112.489 .. 222.019
PlayerPositionEvent,data.position.z,974,974,number:974,0,0,402,False,-1032.64 .. 1993.52
PuzzlePieceVisibleEvent,data.actionType,3410,3410,string:3410,0,0,4,False,
PuzzlePieceVisibleEvent,data.pieceId,3410,3410,string:3410,0,0,40,False,
PuzzlePieceVisibleEvent,data.timestamp,3410,3410,string:3410,0,0,2000,True,
Soil Key Puzzle,data.Soil Key Puzzle Status,8,74,string:8,0,0,2,False,
Soil Key Puzzle,data.Unit,8,74,string:8,0,0,3,False,
Soil Key Puzzle,data.actionType,66,74,string:66,0,0,2,False,
Soil Key Puzzle,data.currentSoilType,66,74,string:66,0,0,7,False,
Soil Key Puzzle,data.isCorrectSelection,66,74,string:66,0,0,2,False,
Soil Key Puzzle,data.waterLevelStatus,66,74,string:66,0,0,3,False,
Soil Key Puzzle,data.waterRetentionChange,66,74,string:66,0,0,3,False,
SolarStillDesignEvent,data.actionType,4,4,string:4,0,0,2,False,
SolarStillDesignEvent,data.designSelections,1,4,object:1,0,0,0,False,
SolarStillDesignEvent,data.designSelections.glassRoofTemperature,1,4,string:1,0,0,1,False,
SolarStillDesignEvent,data.designSelections.roofCovering,1,4,string:1,0,0,1,False,
