eventType,sceneName,record_count,first_timestamp,last_timestamp,span_in_scene
DEBUGMenu,Unit 3 Dev,2,2026-09-05T22:36:53.195000+00:00,2026-09-05T22:36:57.285000+00:00,4.1s
DEBUGMenu,Unit 5 Dev - Dungeon,2,2026-09-05T23:46:50.829000+00:00,2026-09-05T23:46:55.914000+00:00,5.1s
DialogueEvent,Unit 1 Dev,347,2026-09-05T21:11:02.332000+00:00,2026-09-05T21:34:38.627000+00:00,23m 36s
DialogueEvent,Unit 2 Prod (Refactor),666,2026-09-05T21:35:54.544000+00:00,2026-09-05T22:14:18.640000+00:00,38m 24s
DialogueEvent,Unit 3 Dev,459,2026-09-05T22:15:11.662000+00:00,2026-09-05T22:51:13.189000+00:00,36m 1s
DialogueEvent,Unit 3 Dungeon Dev,116,2026-09-05T22:37:29.445000+00:00,2026-09-05T22:45:20.344000+00:00,7m 50s
DialogueEvent,Unit 4 Dev,285,2026-09-05T22:52:00.612000+00:00,2026-09-05T23:35:43.749000+00:00,43m 43s
DialogueEvent,Unit 4 Dev - Anderson Base,135,2026-09-05T23:23:55.021000+00:00,2026-09-05T23:31:05.084000+00:00,7m 10s
DialogueEvent,Unit 4 Dev - Dungeon,99,2026-09-05T23:02:37.733000+00:00,2026-09-05T23:20:26.201000+00:00,17m 48s
DialogueEvent,Unit 5 Dev,264,2026-09-05T23:53:24.014000+00:00,2026-09-06T00:00:03.520000+00:00,6m 39s
DialogueEvent,Unit 5 Dev - Dungeon,137,2026-09-05T23:36:37.207000+00:00,2026-09-05T23:52:53.651000+00:00,16m 16s
EndOfUnit,Unit 1 Dev,1,2026-09-05T21:34:41.060000+00:00,2026-09-05T21:34:41.060000+00:00,0.0s
EndOfUnit,Unit 2 Prod (Refactor),1,2026-09-05T22:14:18.637000+00:00,2026-09-05T22:14:18.637000+00:00,0.0s
EndOfUnit,Unit 3 Dev,1,2026-09-05T22:51:13.187000+00:00,2026-09-05T22:51:13.187000+00:00,0.0s
EndOfUnit,Unit 4 Dev,1,2026-09-05T23:35:43.747000+00:00,2026-09-05T23:35:43.747000+00:00,0.0s
EndOfUnit,Unit 5 Dev,1,2026-09-06T00:00:16.991000+00:00,2026-09-06T00:00:16.991000+00:00,0.0s
InputEvent,Unit 1 Dev,237,2026-09-05T21:12:09.234000+00:00,2026-09-05T21:33:58.893000+00:00,21m 49s
InputEvent,Unit 2 Prod (Refactor),649,2026-09-05T21:36:10.082000+00:00,2026-09-05T22:14:13.068000+00:00,38m 2s
InputEvent,Unit 3 Dev,657,2026-09-05T22:16:35.565000+00:00,2026-09-05T22:51:09.384000+00:00,34m 33s
InputEvent,Unit 3 Dungeon Dev,212,2026-09-05T22:37:02.947000+00:00,2026-09-05T22:45:36.032000+00:00,8m 33s
InputEvent,Unit 4 Dev,341,2026-09-05T22:52:00.608000+00:00,2026-09-05T23:35:31.574000+00:00,43m 30s
InputEvent,Unit 4 Dev - Anderson Base,30,2026-09-05T23:23:53.975000+00:00,2026-09-05T23:25:18.570000+00:00,1m 24s
InputEvent,Unit 4 Dev - Dungeon,424,2026-09-05T23:08:54.544000+00:00,2026-09-05T23:20:38.040000+00:00,11m 43s
InputEvent,Unit 5 Dev,105,2026-09-05T23:53:39.553000+00:00,2026-09-06T00:00:16.993000+00:00,6m 37s
InputEvent,Unit 5 Dev - Dungeon,527,2026-09-05T23:36:36.306000+00:00,2026-09-05T23:52:47.179000+00:00,16m 10s
ObjectInterEvent,Unit 1 Dev,25,2026-09-05T21:10:45.695000+00:00,2026-09-05T21:33:59.593000+00:00,23m 13s
ObjectInterEvent,Unit 2 Prod (Refactor),36,2026-09-05T21:37:04.420000+00:00,2026-09-05T22:08:45.388000+00:00,31m 40s
ObjectInterEvent,Unit 3 Dev,12,2026-09-05T22:17:08.380000+00:00,2026-09-05T22:51:10.256000+00:00,34m 1s
ObjectInterEvent,Unit 3 Dungeon Dev,25,2026-09-05T22:37:14.503000+00:00,2026-09-05T22:42:10.554000+00:00,4m 56s
ObjectInterEvent,Unit 4 Dev,20,2026-09-05T22:56:57.063000+00:00,2026-09-05T23:35:32.211000+00:00,38m 35s
ObjectInterEvent,Unit 4 Dev - Anderson Base,9,2026-09-05T23:24:21.947000+00:00,2026-09-05T23:25:21.108000+00:00,59.2s
ObjectInterEvent,Unit 4 Dev - Dungeon,87,2026-09-05T23:08:59.367000+00:00,2026-09-05T23:20:38.039000+00:00,11m 38s
ObjectInterEvent,Unit 5 Dev,9,2026-09-05T23:54:04.302000+00:00,2026-09-06T00:00:16.993000+00:00,6m 12s
ObjectInterEvent,Unit 5 Dev - Dungeon,17,2026-09-05T23:41:24.107000+00:00,2026-09-05T23:50:03.035000+00:00,8m 38s
PlayerPositionEvent,Unit 1 Dev,135,2026-09-05T21:10:45.693000+00:00,2026-09-05T21:34:36.761000+00:00,23m 51s
PlayerPositionEvent,Unit 2 Prod (Refactor),226,2026-09-05T21:35:52.550000+00:00,2026-09-05T22:14:09.433000+00:00,38m 16s
PlayerPositionEvent,Unit 3 Dev,161,2026-09-05T22:15:03.052000+00:00,2026-09-05T22:51:11.952000+00:00,36m 8s
PlayerPositionEvent,Unit 3 Dungeon Dev,52,2026-09-05T22:36:59.238000+00:00,2026-09-05T22:45:29.495000+00:00,8m 30s
PlayerPositionEvent,Unit 4 Dev,113,2026-09-05T22:51:45.536000+00:00,2026-09-05T23:35:39.844000+00:00,43m 54s
PlayerPositionEvent,Unit 4 Dev - Anderson Base,44,2026-09-05T23:23:53.973000+00:00,2026-09-05T23:31:04.015000+00:00,7m 10s
PlayerPositionEvent,Unit 4 Dev - Dungeon,101,2026-09-05T23:02:37.742000+00:00,2026-09-05T23:20:37.405000+00:00,17m 59s
PlayerPositionEvent,Unit 5 Dev,43,2026-09-05T23:53:07.708000+00:00,2026-09-06T00:00:15.757000+00:00,7m 8s
PlayerPositionEvent,Unit 5 Dev - Dungeon,99,2026-09-05T23:36:27.301000+00:00,2026-09-05T23:52:52.982000+00:00,16m 25s
PuzzlePieceVisibleEvent,Unit 2 Prod (Refactor),1778,2026-09-05T21:37:16.727000+00:00,2026-09-05T21:59:14.792000+00:00,21m 58s
PuzzlePieceVisibleEvent,Unit 3 Dungeon Dev,138,2026-09-05T22:36:59.242000+00:00,2026-09-05T22:37:57.689000+00:00,58.4s
PuzzlePieceVisibleEvent,Unit 4 Dev,1042,2026-09-05T22:59:16.560000+00:00,2026-09-05T23:21:54.557000+00:00,22m 37s
PuzzlePieceVisibleEvent,Unit 5 Dev - Dungeon,452,2026-09-05T23:36:32.288000+00:00,2026-09-05T23:44:03.614000+00:00,7m 31s
Soil Key Puzzle,Unit 2 Prod (Refactor),12,2026-09-05T21:40:28.157000+00:00,2026-09-05T21:52:57.764000+00:00,12m 29s
Soil Key Puzzle,Unit 3 Dev,12,2026-09-05T22:36:18.946000+00:00,2026-09-05T22:36:31.419000+00:00,12.5s
Soil Key Puzzle,Unit 4 Dev,50,2026-09-05T22:56:57.062000+00:00,2026-09-05T22:59:13.192000+00:00,2m 16s
SolarStillDesignEvent,Unit 5 Dev,4,2026-09-05T23:58:08.180000+00:00,2026-09-05T23:58:13.720000+00:00,5.5s
TerasGardenBox,Unit 4 Dev,6,2026-09-05T23:32:25.220000+00:00,2026-09-05T23:32:58.035000+00:00,32.8s
TopographicMapEvent,Unit 2 Prod (Refactor),39,2026-09-05T21:37:34.703000+00:00,2026-09-05T22:05:45.561000+00:00,28m 10s
TopographicMapEvent,Unit 3 Dev,26,2026-09-05T22:17:06.578000+00:00,2026-09-05T22:49:21.936000+00:00,32m 15s
WaterChamberEvent,Unit 5 Dev - Dungeon,43,2026-09-05T23:43:57.817000+00:00,2026-09-05T23:52:20.400000+00:00,8m 22s
