eventType,field_path,records_present,records_total,types,null_count,empty_string_count,unique_values,values_truncated,numeric_range
DEBUGMenu,data.actionType,2,2,string:2,0,0,1,False,
DEBUGMenu,data.isOpened,2,2,bool:2,0,0,2,False,
DaniEvent,data.actionType,2,2,string:2,0,0,2,False,
DaniEvent,data.toolName,2,2,string:2,0,2,1,False,
DialogueEvent,data.conversationId,1655,1655,number:1655,0,0,45,False,8 .. 114
DialogueEvent,data.dialogueEventType,1655,1655,string:1655,0,0,3,False,
DialogueEvent,data.nodeId,1063,1655,number:1063,0,0,216,False,0 .. 290
EndOfUnit,data.Unit,4,4,string:4,0,0,4,False,
InputEvent,data.Value,2033,2033,string:2033,0,0,1,False,
InputEvent,data.actionType,2033,2033,string:2033,0,0,9,False,
InputEvent,data.key,2033,2033,string:2033,0,0,11,False,
InputEvent,data.playerOrDrone,2033,2033,string:2033,0,0,2,False,
ObjectInterEvent,data.actionType,253,253,string:253,0,0,39,False,
ObjectInterEvent,data.objectName,253,253,string:253,0,0,95,False,
PlayerPositionEvent,data.position,1280,1280,object:1280,0,0,0,False,
PlayerPositionEvent,data.position.x,1280,1280,number:1280,0,0,307,False,-656.07 .. 1555.75
PlayerPositionEvent,data.position.y,1280,1280,number:1280,0,0,262,False,-114.157 .. 155.172
PlayerPositionEvent,data.position.z,1280,1280,number:1280,0,0,307,False,-1027.58 .. 2213.43
PuzzlePieceVisibleEvent,data.actionType,3244,3244,string:3244,0,0,4,False,
PuzzlePieceVisibleEvent,data.pieceId,3244,3244,string:3244,0,0,40,False,
PuzzlePieceVisibleEvent,data.timestamp,3244,3244,string:3244,0,0,2000,True,
Soil Key Puzzle,data.Soil Key Puzzle Status,8,38,string:8,0,0,2,False,
Soil Key Puzzle,data.Unit,8,38,string:8,0,0,3,False,
Soil Key Puzzle,data.actionType,30,38,string:30,0,0,2,False,
Soil Key Puzzle,data.currentSoilType,30,38,string:30,0,0,7,False,
Soil Key Puzzle,data.isCorrectSelection,30,38,string:30,0,0,2,False,
Soil Key Puzzle,data.waterLevelStatus,30,38,string:30,0,0,3,False,
Soil Key Puzzle,data.waterRetentionChange,30,38,string:30,0,0,3,False,
TerasGardenBox,data.actionType,6,6,string:6,0,3,2,False,
TerasGardenBox,data.boxId,6,6,string:6,0,0,3,False,
TerasGardenBox,data.soilType,6,6,string:6,0,0,3,False,
TopographicMapEvent,data.actionType,22,22,string:22,0,0,6,False,
TopographicMapEvent,data.featureUsed,22,22,string:22,0,0,3,False,
TopographicMapEvent,data.legendName,3,22,string:3,0,0,2,False,
TopographicMapEvent,data.location,3,22,object:3,0,0,0,False,
TopographicMapEvent,data.location.x,3,22,number:3,0,0,2,False,-155.762 .. -145.484
TopographicMapEvent,data.location.y,3,22,number:3,0,0,2,False,66.3908 .. 70.6733
TopographicMapEvent,data.location.z,3,22,number:3,0,0,1,False,0 .. 0
argumentationAnswerEvent,data.actionType,5,5,string:5,0,0,1,False,
argumentationAnswerEvent,data.answerSubmitted,5,5,string:5,0,0,4,False,
argumentationAnswerEvent,data.argumentationTitle,5,5,string:5,0,0,5,False,
argumentationEvent,data.actionType,12,12,string:12,0,0,2,False,
argumentationEvent,data.argumentationDescription,12,12,string:12,0,0,5,False,
argumentationEvent,data.argumentationTitle,12,12,string:12,0,0,5,False,
argumentationNodeEvent,data.actionType,125,125,string:125,0,0,4,False,
argumentationNodeEvent,data.argumentationTitle,125,125,string:125,0,0,5,False,
argumentationNodeEvent,data.nodeName,125,125,string:125,0,0,11,False,
argumentationToolEvent,data.actionType,8,8,string:8,0,0,2,False,
argumentationToolEvent,data.argumentationTitle,8,8,string:8,0,0,4,False,
argumentationToolEvent,data.toolName,8,8,string:8,0,0,6,False,
chatEvent,data.actionType,1,1,string:1,0,0,1,False,
chatEvent,data.chatID,1,1,string:1,0,0,1,False,
crash,data.isPWA,2,2,bool:2,0,0,1,False,
crash,data.message,2,2,string:2,0,0,2,False,
crash,data.phase,2,2,string:2,0,0,1,False,
crash,data.stack,2,2,string:2,0,1,2,False,
crash,data.type,2,2,string:2,0,0,2,False,
crash,data.unitId,2,2,string:2,0,0,2,False,
crash,data.workspace,2,2,string:2,0,0,1,False,
gameStartEvent,data.<empty>,7,7,bool:7,0,0,1,False,
gameWindowFocusEvent,data.<empty>,24,24,bool:24,0,0,1,False,
gameWindowUnfocusEvent,data.<empty>,25,25,bool:25,0,0,1,False,
questEvent,data.questEventType,64,64,string:64,0,0,2,False,
questEvent,data.questID,64,64,string:64,0,0,28,False,
questEvent,data.questName,64,64,string:64,0,0,28,False,
questEvent,data.questSuccessOrFailure,29,64,string:29,0,0,1,False,
soilMachine,data.actionType,5,5,string:5,0,0,1,False,
soilMachine,data.canisterType,5,5,string:5,0,0,3,False,
soilMachine,data.floor,5,5,string:5,0,0,3,False,
soilMachine,data.machine,5,5,string:5,0,0,2,False,
soilMachine,data.row,5,5,string:5,0,0,2,False,
