status,severity,category,event_type,field,summary,observed,expected,evidence,examples,spec_source
WARNING,Medium,coverage,SolarStillDesignEvent,,expected event type absent although its content was played — possible logging failure,,appears in Unit(s) [5],coverage: Unit5=partial,,observed data 08-25-26 (first appearance; no written spec yet)
WARNING,Medium,coverage,WaterChamberEvent,,expected event type absent although its content was played — possible logging failure,,appears in Unit(s) [5],coverage: Unit5=partial,,08-13-26/Investigation-results/water-chamber-event-investigation.md
WARNING,Medium,duplicates,InputEvent,,"exact duplicate records (same timestamp, scene and data)","2 group(s), 2 redundant record(s)",each gameplay moment logged once,,wenyi090326-4.stratalog.logdata.json[972] _id=6a9d9175485cab4c95409262 ts=2026-09-06T16:14:45.5090000Z == wenyi090326-4.stratalog.logdata.json[971] _id=6a9d9175485cab4c95409264 ts=2026-09-06T16:14:45.5090000Z | wenyi090326-4.stratalog.logdata.json[863] _id=6a9d91a8485cab4c9540933a ts=2026-09-06T16:15:36.2610000Z == wenyi090326-4.stratalog.logdata.json[864] _id=6a9d91a8485cab4c9540933c ts=2026-09-06T16:15:36.2610000Z,
WARNING,Medium,duplicates,ObjectInterEvent,,"exact duplicate records (same timestamp, scene and data)","2 group(s), 2 redundant record(s)",each gameplay moment logged once,,wenyi090326-4.stratalog.logdata.json[597] _id=6a9d928f485cab4c95409550 ts=2026-09-06T16:19:28.0400000Z == wenyi090326-4.stratalog.logdata.json[596] _id=6a9d928f485cab4c95409552 ts=2026-09-06T16:19:28.0400000Z | wenyi090326-4.stratalog.logdata.json[566] _id=6a9d92ad485cab4c9540958e ts=2026-09-06T16:19:57.5200000Z == wenyi090326-4.stratalog.logdata.json[565] _id=6a9d92ad485cab4c95409590 ts=2026-09-06T16:19:57.5200000Z,
WARNING,Medium,duplicates,PuzzlePieceVisibleEvent,,"exact duplicate records (same timestamp, scene and data)","55 group(s), 78 redundant record(s)",each gameplay moment logged once,,wenyi090326-4.stratalog.logdata.json[7570] _id=6a9cc95c485cab4c95405ee6 ts=2026-09-06T02:00:25.9860000Z == wenyi090326-4.stratalog.logdata.json[7569] _id=6a9cc95c485cab4c95405ee8 ts=2026-09-06T02:00:25.9860000Z | wenyi090326-4.stratalog.logdata.json[7567] _id=6a9cc95c485cab4c95405eea ts=2026-09-06T02:00:26.0500000Z == wenyi090326-4.stratalog.logdata.json[7568] _id=6a9cc95c485cab4c95405eec ts=2026-09-06T02:00:26.0500000Z | wenyi090326-4.stratalog.logdata.json[7509] _id=6a9cc95f485cab4c95405f3e ts=2026-09-06T02:00:55.2290000Z == wenyi090326-4.stratalog.logdata.json[7508] _id=6a9cc95f485cab4c95405f40 ts=2026-09-06T02:00:55.2290000Z,
WARNING,Medium,regression,DaniEvent,,median interval between records changed substantially,45387.762s median,14.09s in 08-31-26,regression candidate requiring review,,
WARNING,Medium,regression,SolarStillDesignEvent,,event type present in baseline 08-31-26 but absent now,0 records this build,4 records in baseline; check coverage before treating as a logging regression,,,
WARNING,Medium,regression,TerasGardenBox,,baseline field(s) absent this build,data.boxID,schema change or conditional content — review,,,
WARNING,Medium,regression,WaterChamberEvent,,event type present in baseline 08-31-26 but absent now,0 records this build,18 records in baseline; check coverage before treating as a logging regression,,,
WARNING,Medium,schema,DialogueEvent,eventKey,eventKey does not match its documented format,19 mismatch(es); e.g. 'DialogueNodeEvent:31:0' vs expected 'DialogueNodeEvent:31:2',{data.dialogueEventType}:{data.conversationId}:{data.nodeId},,wenyi090326-4.stratalog.logdata.json[8710] _id=6a9cb0ee485cab4c954055be ts=2026-09-06T00:16:46.6950000Z | wenyi090326-4.stratalog.logdata.json[8669] _id=6a9cb149485cab4c9540560e ts=2026-09-06T00:18:17.8380000Z | wenyi090326-4.stratalog.logdata.json[8645] _id=6a9cb15b485cab4c95405640 ts=2026-09-06T00:18:35.4460000Z,observed data (dialogue-event PDF not machine-readable)
