kind,eventType,ref,scene,data
exact,InputEvent,wenyi090326-4.stratalog.logdata.json[972] _id=6a9d9175485cab4c95409262 ts=2026-09-06T16:14:45.5090000Z,Unit 4 Dev - Dungeon,"{""Value"": ""pressed"", ""actionType"": ""Sprint"", ""key"": ""leftShift"", ""playerOrDrone"": ""Player""}"
exact,InputEvent,wenyi090326-4.stratalog.logdata.json[971] _id=6a9d9175485cab4c95409264 ts=2026-09-06T16:14:45.5090000Z,Unit 4 Dev - Dungeon,"{""Value"": ""pressed"", ""actionType"": ""Sprint"", ""key"": ""leftShift"", ""playerOrDrone"": ""Player""}"
exact,InputEvent,wenyi090326-4.stratalog.logdata.json[863] _id=6a9d91a8485cab4c9540933a ts=2026-09-06T16:15:36.2610000Z,Unit 4 Dev - Dungeon,"{""Value"": ""pressed"", ""actionType"": ""Sprint"", ""key"": ""leftShift"", ""playerOrDrone"": ""Player""}"
exact,InputEvent,wenyi090326-4.stratalog.logdata.json[864] _id=6a9d91a8485cab4c9540933c ts=2026-09-06T16:15:36.2610000Z,Unit 4 Dev - Dungeon,"{""Value"": ""pressed"", ""actionType"": ""Sprint"", ""key"": ""leftShift"", ""playerOrDrone"": ""Player""}"
exact,ObjectInterEvent,wenyi090326-4.stratalog.logdata.json[597] _id=6a9d928f485cab4c95409550 ts=2026-09-06T16:19:28.0400000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi090326-4.stratalog.logdata.json[596] _id=6a9d928f485cab4c95409552 ts=2026-09-06T16:19:28.0400000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi090326-4.stratalog.logdata.json[566] _id=6a9d92ad485cab4c9540958e ts=2026-09-06T16:19:57.5200000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi090326-4.stratalog.logdata.json[565] _id=6a9d92ad485cab4c95409590 ts=2026-09-06T16:19:57.5200000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
near,ObjectInterEvent,wenyi090326-4.stratalog.logdata.json[8743] _id=6a9cb0c1485cab4c9540557c ts=2026-09-06T00:16:02.0880000Z ~ wenyi090326-4.stratalog.logdata.json[8742] _id=6a9cb0c2485cab4c9540557e ts=2026-09-06T00:16:02.0890000Z (1ms),Unit 1 Dev,"{""actionType"": ""Press E to Open Locker"", ""objectName"": ""Player Locker""}"
near,ObjectInterEvent,wenyi090326-4.stratalog.logdata.json[7997] _id=6a9cc4e6485cab4c95405b58 ts=2026-09-06T01:41:58.5000000Z ~ wenyi090326-4.stratalog.logdata.json[7996] _id=6a9cc4e6485cab4c95405b5a ts=2026-09-06T01:41:58.5010000Z (1ms),Unit 1 Dev,"{""actionType"": ""Press E to Open Locker"", ""objectName"": ""Player Locker""}"
near,ObjectInterEvent,wenyi090326-4.stratalog.logdata.json[1179] _id=6a9d910a485cab4c954090c4 ts=2026-09-06T16:12:58.8000000Z ~ wenyi090326-4.stratalog.logdata.json[1176] _id=6a9d910b485cab4c954090ca ts=2026-09-06T16:12:59.4340000Z (634ms),Unit 4 Dev - Dungeon,"{""actionType"": ""Press E to go down"", ""objectName"": ""Elevator (Floor 2)""}"
near,ObjectInterEvent,wenyi090326-4.stratalog.logdata.json[909] _id=6a9d9191485cab4c954092e0 ts=2026-09-06T16:15:13.3260000Z ~ wenyi090326-4.stratalog.logdata.json[905] _id=6a9d9191485cab4c954092ea ts=2026-09-06T16:15:14.1900000Z (864ms),Unit 4 Dev - Dungeon,"{""actionType"": ""Press E to inspect "", ""objectName"": ""Soil View""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-4.stratalog.logdata.json[7570] _id=6a9cc95c485cab4c95405ee6 ts=2026-09-06T02:00:25.9860000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Topography Slot 4"", ""timestamp"": ""2026-09-06T02:00:26.0500000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-4.stratalog.logdata.json[7569] _id=6a9cc95c485cab4c95405ee8 ts=2026-09-06T02:00:25.9860000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Topography Slot 4"", ""timestamp"": ""2026-09-06T02:00:26.0500000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-4.stratalog.logdata.json[7567] _id=6a9cc95c485cab4c95405eea ts=2026-09-06T02:00:26.0500000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Topography Slot 1"", ""timestamp"": ""2026-09-06T02:00:26.0500000Z""}"
