session,sceneName,first_timestamp,last_timestamp,duration,duration_s,n_events,event_types
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,MainMenu,2026-09-06T00:14:37.471000+00:00,2026-09-06T00:14:37.471000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 1 Dev,2026-09-06T00:14:44.230000+00:00,2026-09-06T00:18:56.561000+00:00,4m 12s,252.3,201,DialogueEvent:84; InputEvent:72; ObjectInterEvent:8; PlayerPositionEvent:26; gameWindowFocusEvent:2; gameWindowUnfocusEvent:2; questEvent:7
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,MainMenu,2026-09-06T00:20:18.782000+00:00,2026-09-06T00:20:18.782000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 1 Dev,2026-09-06T00:20:21.643000+00:00,2026-09-06T01:56:37.548000+00:00,1h 36m,5775.9,970,DialogueEvent:187; EndOfUnit:1; InputEvent:133; ObjectInterEvent:14; PlayerPositionEvent:578; argumentationAnswerEvent:2; argumentationEvent:4; argumentationNodeEvent:28; argumentationToolEvent:3; gameWindowFocusEvent:4; gameWindowUnfocusEvent:4; questEvent:12
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,MainMenu,2026-09-06T01:57:46.901000+00:00,2026-09-06T01:57:46.901000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 2 Prod (Refactor),2026-09-06T01:57:50.430000+00:00,2026-09-06T15:31:58.646000+00:00,13h 34m,48848.2,4711,DaniEvent:2; DialogueEvent:560; EndOfUnit:1; InputEvent:813; ObjectInterEvent:111; PlayerPositionEvent:346; PuzzlePieceVisibleEvent:2768; Soil Key Puzzle:12; TopographicMapEvent:18; argumentationAnswerEvent:1; argumentationEvent:2; argumentationNodeEvent:37; argumentationToolEvent:2; gameWindowFocusEvent:13; gameWindowUnfocusEvent:13; questEvent:12
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,MainMenu,2026-09-06T15:32:52.698000+00:00,2026-09-06T15:32:52.698000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 3 Dev,2026-09-06T15:33:15.698000+00:00,2026-09-06T15:49:28.904000+00:00,16m 13s,973.2,547,DialogueEvent:185; InputEvent:192; ObjectInterEvent:6; PlayerPositionEvent:98; Soil Key Puzzle:12; TopographicMapEvent:2; argumentationAnswerEvent:1; argumentationEvent:3; argumentationNodeEvent:33; argumentationToolEvent:3; gameWindowFocusEvent:3; gameWindowUnfocusEvent:4; questEvent:5
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,MainMenu,2026-09-06T15:49:39.295000+00:00,2026-09-06T15:49:39.295000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 3 Dev,2026-09-06T15:49:41.474000+00:00,2026-09-06T15:49:46.928000+00:00,5.5s,5.5,9,DEBUGMenu:2; DialogueEvent:3; InputEvent:1; PlayerPositionEvent:1; questEvent:2
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 3 Dungeon Dev,2026-09-06T15:49:48.504000+00:00,2026-09-06T15:56:48.925000+00:00,7m 0s,420.4,497,DialogueEvent:115; InputEvent:188; ObjectInterEvent:23; PlayerPositionEvent:43; PuzzlePieceVisibleEvent:126; questEvent:2
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 3 Dev,2026-09-06T15:57:42.081000+00:00,2026-09-06T16:02:33.888000+00:00,4m 51s,291.8,166,DialogueEvent:90; EndOfUnit:1; InputEvent:34; ObjectInterEvent:5; PlayerPositionEvent:30; TopographicMapEvent:2; questEvent:4
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,MainMenu,2026-09-06T16:05:21.554000+00:00,2026-09-06T16:05:21.554000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 4 Dev,2026-09-06T16:05:24.880000+00:00,2026-09-06T16:10:52.251000+00:00,5m 27s,327.4,311,DialogueEvent:24; InputEvent:56; ObjectInterEvent:3; PlayerPositionEvent:33; PuzzlePieceVisibleEvent:178; Soil Key Puzzle:14; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:1
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 4 Dev - Dungeon,2026-09-06T16:10:58.166000+00:00,2026-09-06T16:16:05.275000+00:00,5m 7s,307.1,589,DialogueEvent:108; InputEvent:377; ObjectInterEvent:59; PlayerPositionEvent:31; questEvent:9; soilMachine:5
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 4 Dev,2026-09-06T16:16:06.709000+00:00,2026-09-06T16:18:36.698000+00:00,2m 29s,150.0,166,DialogueEvent:58; InputEvent:30; ObjectInterEvent:2; PlayerPositionEvent:15; PuzzlePieceVisibleEvent:58; questEvent:3
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 4 Dev - Anderson Base,2026-09-06T16:18:37.925000+00:00,2026-09-06T16:21:17.965000+00:00,2m 40s,160.0,167,DialogueEvent:69; InputEvent:39; ObjectInterEvent:9; PlayerPositionEvent:17; argumentationAnswerEvent:1; argumentationEvent:3; argumentationNodeEvent:27; questEvent:2
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 4 Dev,2026-09-06T16:21:32.091000+00:00,2026-09-06T16:28:25.462000+00:00,6m 53s,413.4,294,DialogueEvent:162; EndOfUnit:1; InputEvent:65; ObjectInterEvent:12; PlayerPositionEvent:42; TerasGardenBox:6; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:4
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,MainMenu,2026-09-06T16:28:44.725000+00:00,2026-09-06T16:28:44.725000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,Unit 5 Dev - Dungeon,2026-09-06T16:28:47.103000+00:00,2026-09-06T16:32:00.736000+00:00,3m 13s,193.6,180,DialogueEvent:10; InputEvent:33; ObjectInterEvent:1; PlayerPositionEvent:20; PuzzlePieceVisibleEvent:114; chatEvent:1; questEvent:1
wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4,<missing sceneName>,,,?,,2,crash:2
