eventType,sceneName,record_count,first_timestamp,last_timestamp,span_in_scene
DEBUGMenu,Unit 3 Dev,2,2026-09-06T15:49:44.442000+00:00,2026-09-06T15:49:46.914000+00:00,2.5s
DaniEvent,Unit 2 Prod (Refactor),2,2026-09-06T02:21:45.541000+00:00,2026-09-06T14:58:13.303000+00:00,12h 36m
DialogueEvent,Unit 1 Dev,271,2026-09-06T00:15:00.763000+00:00,2026-09-06T01:56:35.114000+00:00,1h 41m
DialogueEvent,Unit 2 Prod (Refactor),560,2026-09-06T01:57:52.385000+00:00,2026-09-06T15:31:58.646000+00:00,13h 34m
DialogueEvent,Unit 3 Dev,278,2026-09-06T15:33:24.332000+00:00,2026-09-06T16:02:33.888000+00:00,29m 9s
DialogueEvent,Unit 3 Dungeon Dev,115,2026-09-06T15:50:07.470000+00:00,2026-09-06T15:56:36.723000+00:00,6m 29s
DialogueEvent,Unit 4 Dev,244,2026-09-06T16:05:39.978000+00:00,2026-09-06T16:28:25.462000+00:00,22m 45s
DialogueEvent,Unit 4 Dev - Anderson Base,69,2026-09-06T16:18:38.992000+00:00,2026-09-06T16:21:17.934000+00:00,2m 38s
DialogueEvent,Unit 4 Dev - Dungeon,108,2026-09-06T16:10:58.166000+00:00,2026-09-06T16:15:54.770000+00:00,4m 56s
DialogueEvent,Unit 5 Dev - Dungeon,10,2026-09-06T16:28:57.027000+00:00,2026-09-06T16:31:42.864000+00:00,2m 45s
EndOfUnit,Unit 1 Dev,1,2026-09-06T01:56:37.548000+00:00,2026-09-06T01:56:37.548000+00:00,0.0s
EndOfUnit,Unit 2 Prod (Refactor),1,2026-09-06T15:31:58.643000+00:00,2026-09-06T15:31:58.643000+00:00,0.0s
EndOfUnit,Unit 3 Dev,1,2026-09-06T16:02:33.886000+00:00,2026-09-06T16:02:33.886000+00:00,0.0s
EndOfUnit,Unit 4 Dev,1,2026-09-06T16:28:25.460000+00:00,2026-09-06T16:28:25.460000+00:00,0.0s
InputEvent,Unit 1 Dev,205,2026-09-06T00:15:38.310000+00:00,2026-09-06T01:55:55.313000+00:00,1h 40m
InputEvent,Unit 2 Prod (Refactor),813,2026-09-06T01:59:26.592000+00:00,2026-09-06T15:31:51.706000+00:00,13h 32m
InputEvent,Unit 3 Dev,227,2026-09-06T15:35:22.535000+00:00,2026-09-06T16:02:28.316000+00:00,27m 5s
InputEvent,Unit 3 Dungeon Dev,188,2026-09-06T15:49:52.627000+00:00,2026-09-06T15:56:31.083000+00:00,6m 38s
InputEvent,Unit 4 Dev,151,2026-09-06T16:08:50.435000+00:00,2026-09-06T16:28:16.726000+00:00,19m 26s
InputEvent,Unit 4 Dev - Anderson Base,39,2026-09-06T16:18:37.927000+00:00,2026-09-06T16:21:03.995000+00:00,2m 26s
InputEvent,Unit 4 Dev - Dungeon,377,2026-09-06T16:11:14.110000+00:00,2026-09-06T16:16:05.275000+00:00,4m 51s
InputEvent,Unit 5 Dev - Dungeon,33,2026-09-06T16:29:38.675000+00:00,2026-09-06T16:32:00.701000+00:00,2m 22s
ObjectInterEvent,Unit 1 Dev,22,2026-09-06T00:14:44.232000+00:00,2026-09-06T01:55:56.080000+00:00,1h 41m
ObjectInterEvent,Unit 2 Prod (Refactor),111,2026-09-06T02:00:13.979000+00:00,2026-09-06T15:30:14.346000+00:00,13h 30m
ObjectInterEvent,Unit 3 Dev,11,2026-09-06T15:35:51.782000+00:00,2026-09-06T16:02:29.620000+00:00,26m 37s
ObjectInterEvent,Unit 3 Dungeon Dev,23,2026-09-06T15:49:58.229000+00:00,2026-09-06T15:54:36.143000+00:00,4m 37s
ObjectInterEvent,Unit 4 Dev,17,2026-09-06T16:09:59.298000+00:00,2026-09-06T16:28:22.028000+00:00,18m 22s
ObjectInterEvent,Unit 4 Dev - Anderson Base,9,2026-09-06T16:19:12.435000+00:00,2026-09-06T16:20:11.094000+00:00,58.7s
ObjectInterEvent,Unit 4 Dev - Dungeon,59,2026-09-06T16:11:24.064000+00:00,2026-09-06T16:16:05.274000+00:00,4m 41s
ObjectInterEvent,Unit 5 Dev - Dungeon,1,2026-09-06T16:31:58.968000+00:00,2026-09-06T16:31:58.968000+00:00,0.0s
PlayerPositionEvent,Unit 1 Dev,604,2026-09-06T00:14:44.230000+00:00,2026-09-06T01:56:32.212000+00:00,1h 41m
PlayerPositionEvent,Unit 2 Prod (Refactor),346,2026-09-06T01:57:50.430000+00:00,2026-09-06T15:31:48.971000+00:00,13h 33m
PlayerPositionEvent,Unit 3 Dev,129,2026-09-06T15:33:15.698000+00:00,2026-09-06T16:02:32.451000+00:00,29m 16s
PlayerPositionEvent,Unit 3 Dungeon Dev,43,2026-09-06T15:49:48.504000+00:00,2026-09-06T15:56:48.925000+00:00,7m 0s
PlayerPositionEvent,Unit 4 Dev,90,2026-09-06T16:05:24.880000+00:00,2026-09-06T16:28:22.558000+00:00,22m 57s
PlayerPositionEvent,Unit 4 Dev - Anderson Base,17,2026-09-06T16:18:37.925000+00:00,2026-09-06T16:21:17.965000+00:00,2m 40s
PlayerPositionEvent,Unit 4 Dev - Dungeon,31,2026-09-06T16:10:58.176000+00:00,2026-09-06T16:15:58.370000+00:00,5m 0s
PlayerPositionEvent,Unit 5 Dev - Dungeon,20,2026-09-06T16:28:47.134000+00:00,2026-09-06T16:31:57.735000+00:00,3m 10s
PuzzlePieceVisibleEvent,Unit 2 Prod (Refactor),2768,2026-09-06T02:00:25.853000+00:00,2026-09-06T15:01:30.744000+00:00,13h 1m
PuzzlePieceVisibleEvent,Unit 3 Dungeon Dev,126,2026-09-06T15:49:48.507000+00:00,2026-09-06T15:50:19.398000+00:00,30.9s
PuzzlePieceVisibleEvent,Unit 4 Dev,236,2026-09-06T16:10:15.772000+00:00,2026-09-06T16:16:46.720000+00:00,6m 30s
PuzzlePieceVisibleEvent,Unit 5 Dev - Dungeon,114,2026-09-06T16:28:52.107000+00:00,2026-09-06T16:32:00.736000+00:00,3m 8s
Soil Key Puzzle,Unit 2 Prod (Refactor),12,2026-09-06T02:08:45.039000+00:00,2026-09-06T14:58:28.946000+00:00,12h 49m
