eventType,n_intervals,interval_min_s,interval_p5_s,interval_p25_s,interval_median_s,interval_mean_s,interval_p75_s,interval_p95_s,interval_max_s,records_per_active_minute,burst_pairs,long_gaps
InputEvent,1882,0.0,0.05,0.2,0.5,13.745,1.251,12.972,19394.171,4.37,103,1
DialogueEvent,1774,0.0,0.001,0.002,0.684,14.616,2.285,16.314,19316.787,4.11,494,1
PuzzlePieceVisibleEvent,1017,0.0,0.0,0.001,0.033,3.541,0.134,1.181,1394.689,16.94,627,2
PlayerPositionEvent,643,9.955,9.988,9.989,10.005,10.134,10.005,10.006,42.57,5.92,0,0
ObjectInterEvent,165,0.0,1.659,3.452,7.054,156.639,27.11,193.714,19449.932,0.38,3,2
argumentationNodeEvent,154,0.014,0.016,0.051,0.25,162.821,0.826,8.623,21198.833,0.37,38,4
questEvent,67,0.0,0.001,5.936,64.48,386.514,175.069,295.203,19419.033,0.16,13,1
TopographicMapEvent,62,0.004,0.04,0.686,2.484,43.895,6.966,283.281,817.674,1.37,4,2
DaniEvent,41,0.004,0.016,2.718,14.09,609.859,67.099,1115.594,19768.966,0.1,3,4
Soil Key Puzzle,31,0.351,0.417,0.458,0.617,95.885,2.8,653.452,1626.276,0.63,0,2
WaterChamberEvent,17,3.101,4.089,8.02,16.302,26.213,43.22,57.343,91.107,2.29,0,0
argumentationToolEvent,17,0.067,0.32,0.801,1.101,1475.985,41.737,6736.093,21192.495,0.04,0,3
gameWindowFocusEvent,17,6.748,26.603,124.892,199.213,1517.819,575.951,4858.528,20446.57,0.04,0,4
gameWindowUnfocusEvent,17,17.658,31.103,57.235,216.72,1511.867,576.53,4943.866,20430.283,0.04,0,4
argumentationEvent,13,0.014,0.014,20.979,36.299,1930.055,624.662,9522.776,21189.725,0.03,2,4
argumentationAnswerEvent,6,24.612,28.976,194.263,1006.195,4178.483,1676.229,16353.309,21210.704,0.01,0,4
TerasGardenBox,5,1.334,1.414,1.733,4.718,9.21,18.072,19.77,20.194,6.51,0,0
EndOfUnit,4,1230.515,1245.838,1307.13,1432.505,6254.94,6380.315,18015.451,20924.235,0.01,0,4
gameStartEvent,4,1336.382,1365.893,1483.938,1577.217,6182.957,6276.235,17448.056,20241.011,0.01,0,4
soilMachine,4,8.355,11.531,24.234,37.414,37.953,51.133,65.129,68.628,1.58,0,0
SolarStillDesignEvent,3,2.123,2.144,2.229,2.334,2.409,2.551,2.726,2.769,24.91,0,0
chatEvent,1,721.885,721.885,721.885,721.885,721.885,721.885,721.885,721.885,0.08,0,1
