eventType,n_intervals,interval_min_s,interval_p5_s,interval_p25_s,interval_median_s,interval_mean_s,interval_p75_s,interval_p95_s,interval_max_s,records_per_active_minute,burst_pairs,long_gaps
DialogueEvent,1736,0.0,0.001,0.002,0.667,4.712,2.334,16.895,1369.972,12.73,477,1
InputEvent,1629,0.001,0.067,0.233,0.565,4.995,1.669,14.476,1348.626,12.01,47,1
PuzzlePieceVisibleEvent,1181,0.0,0.0,0.0,0.033,4.435,0.131,1.036,1669.0,13.53,707,4
PlayerPositionEvent,624,9.968,9.972,10.004,10.005,12.613,10.005,10.157,1358.161,4.76,0,1
ObjectInterEvent,177,0.0,1.207,2.968,6.466,45.827,18.209,203.359,1361.161,1.31,3,1
argumentationNodeEvent,132,0.031,0.033,0.092,0.383,55.76,1.743,34.571,2309.018,1.08,30,4
questEvent,68,0.0,0.001,8.653,74.645,119.778,157.468,361.677,1498.388,0.5,12,1
TopographicMapEvent,43,0.004,0.033,0.734,2.204,70.196,8.988,453.25,1108.562,0.85,4,2
Soil Key Puzzle,35,0.267,0.324,0.45,0.667,99.457,2.517,734.705,1783.553,0.6,0,2
chatEvent,31,0.001,0.116,0.197,0.232,145.436,0.302,217.837,4066.029,0.41,1,1
gameWindowUnfocusEvent,26,0.0,3.041,29.35,107.559,308.764,264.032,1373.606,1915.437,0.19,1,4
gameWindowFocusEvent,25,4.337,6.586,41.756,95.131,318.931,262.393,1402.723,1777.794,0.19,0,5
argumentationToolEvent,18,0.333,0.504,0.675,0.901,407.457,20.535,2281.16,4598.815,0.15,0,3
DaniEvent,15,0.001,0.001,1.033,2.369,396.961,253.505,2038.878,2043.311,0.15,2,3
argumentationEvent,13,0.031,0.032,12.908,52.427,565.736,715.806,2194.006,2302.847,0.11,2,4
WaterChamberEvent,11,1.534,1.618,5.334,13.039,18.261,32.163,40.434,40.503,3.29,0,0
TerasGardenBox,7,0.9,1.2,3.735,8.004,10.257,15.123,22.718,25.179,5.85,0,0
gameStartEvent,6,535.725,566.881,705.507,841.528,998.649,1144.099,1712.188,1867.992,0.06,0,5
DEBUGMenu,5,3.784,3.825,3.991,7.86,552.054,1187.428,1483.252,1557.208,0.11,0,2
argumentationAnswerEvent,5,25.712,183.801,816.157,1881.866,1469.051,2294.362,2320.6,2327.159,0.04,0,4
EndOfUnit,4,1483.091,1534.973,1742.503,1864.391,1858.259,1980.147,2172.961,2221.165,0.03,0,4
soilMachine,4,10.405,12.421,20.485,42.837,40.836,63.188,66.45,67.265,1.47,0,0
SolarStillDesignEvent,3,0.634,0.677,0.851,1.067,0.947,1.103,1.132,1.139,63.38,0,0
crash,0,,,,,,,,,0.0,0,0
