kind,eventType,ref,scene,data
exact,ObjectInterEvent,wenyi090326-2.stratalog.logdata.json[1353] _id=6a9b1934485cab4c953fb4dc ts=2026-09-04T19:17:08.2900000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi090326-2.stratalog.logdata.json[1352] _id=6a9b1934485cab4c953fb4de ts=2026-09-04T19:17:08.2900000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi090326-2.stratalog.logdata.json[1319] _id=6a9b1959485cab4c953fb520 ts=2026-09-04T19:17:45.7410000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi090326-2.stratalog.logdata.json[1318] _id=6a9b1959485cab4c953fb522 ts=2026-09-04T19:17:45.7410000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
near,ObjectInterEvent,wenyi090326-2.stratalog.logdata.json[5766] _id=6a9b0487485cab4c953f86d8 ts=2026-09-04T17:48:55.7920000Z ~ wenyi090326-2.stratalog.logdata.json[5765] _id=6a9b0487485cab4c953f86da ts=2026-09-04T17:48:55.7930000Z (1ms),Unit 1 Dev,"{""actionType"": ""Press E to Open Locker"", ""objectName"": ""Player Locker""}"
near,ObjectInterEvent,wenyi090326-2.stratalog.logdata.json[1664] _id=6a9b17fa485cab4c953fb26e ts=2026-09-04T19:11:55.1540000Z ~ wenyi090326-2.stratalog.logdata.json[1661] _id=6a9b17fb485cab4c953fb274 ts=2026-09-04T19:11:55.8540000Z (700ms),Unit 4 Dev - Dungeon,"{""actionType"": ""Press E to go down"", ""objectName"": ""Elevator (Floor 4)""}"
near,ObjectInterEvent,wenyi090326-2.stratalog.logdata.json[326] _id=6a9b2311485cab4c953fc286 ts=2026-09-04T19:59:13.2740000Z ~ wenyi090326-2.stratalog.logdata.json[324] _id=6a9b2311485cab4c953fc28a ts=2026-09-04T19:59:14.1080000Z (834ms),Unit 5 Dev,"{""actionType"": ""Press E to examine"", ""objectName"": ""Animal Tracks""}"
near,ObjectInterEvent,wenyi090326-2.stratalog.logdata.json[319] _id=6a9b2314485cab4c953fc294 ts=2026-09-04T19:59:17.0420000Z ~ wenyi090326-2.stratalog.logdata.json[317] _id=6a9b2315485cab4c953fc298 ts=2026-09-04T19:59:17.6090000Z (567ms),Unit 5 Dev,"{""actionType"": ""Press E to examine"", ""objectName"": ""Animal Tracks""}"
near,ObjectInterEvent,wenyi090326-2.stratalog.logdata.json[317] _id=6a9b2315485cab4c953fc298 ts=2026-09-04T19:59:17.6090000Z ~ wenyi090326-2.stratalog.logdata.json[315] _id=6a9b2315485cab4c953fc29c ts=2026-09-04T19:59:17.9090000Z (300ms),Unit 5 Dev,"{""actionType"": ""Press E to examine"", ""objectName"": ""Animal Tracks""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[5229] _id=6a9b0806485cab4c953f9422 ts=2026-09-04T18:03:45.2180000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Slot 2"", ""timestamp"": ""2026-09-04T18:03:45.2860000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[5230] _id=6a9b0806485cab4c953f9424 ts=2026-09-04T18:03:45.2180000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Slot 2"", ""timestamp"": ""2026-09-04T18:03:45.2860000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[5227] _id=6a9b0806485cab4c953f9426 ts=2026-09-04T18:03:45.2860000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Slot 4"", ""timestamp"": ""2026-09-04T18:03:45.2860000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[5228] _id=6a9b0806485cab4c953f9428 ts=2026-09-04T18:03:45.2860000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Slot 4"", ""timestamp"": ""2026-09-04T18:03:45.2860000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[4421] _id=6a9b0b1f485cab4c953f9a66 ts=2026-09-04T18:17:02.7670000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-04T18:17:02.7670000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[4426] _id=6a9b0b1f485cab4c953f9a68 ts=2026-09-04T18:17:02.7670000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-04T18:17:02.7670000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[4422] _id=6a9b0b1f485cab4c953f9a6a ts=2026-09-04T18:17:02.7670000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-04T18:17:02.7670000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[4424] _id=6a9b0b1f485cab4c953f9a6c ts=2026-09-04T18:17:02.7670000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-04T18:17:02.7670000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[4425] _id=6a9b0b1f485cab4c953f9a6e ts=2026-09-04T18:17:02.7670000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-04T18:17:02.7670000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[4411] _id=6a9b0b20485cab4c953f9a7e ts=2026-09-04T18:17:03.3310000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-04T18:17:03.3310000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-2.stratalog.logdata.json[4412] _id=6a9b0b20485cab4c953f9a80 ts=2026-09-04T18:17:03.3310000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-04T18:17:03.3310000Z""}"
