session,sceneName,first_timestamp,last_timestamp,duration,duration_s,n_events,event_types
wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc,MainMenu,2026-09-04T17:47:25.087000+00:00,2026-09-04T17:47:25.087000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc,Unit 1 Dev,2026-09-04T17:47:27.846000+00:00,2026-09-04T18:00:14.183000+00:00,12m 46s,766.3,413,DialogueEvent:187; EndOfUnit:1; InputEvent:82; ObjectInterEvent:11; PlayerPositionEvent:77; argumentationAnswerEvent:2; argumentationEvent:4; argumentationNodeEvent:26; argumentationToolEvent:5; gameWindowFocusEvent:3; gameWindowUnfocusEvent:3; questEvent:12
wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc,MainMenu,2026-09-04T18:01:27.158000+00:00,2026-09-04T18:01:27.158000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc,Unit 2 Prod (Refactor),2026-09-04T18:01:29.995000+00:00,2026-09-04T18:30:43.160000+00:00,29m 13s,1753.2,1894,DaniEvent:6; DialogueEvent:490; EndOfUnit:1; InputEvent:351; ObjectInterEvent:31; PlayerPositionEvent:171; PuzzlePieceVisibleEvent:720; Soil Key Puzzle:12; TopographicMapEvent:36; argumentationAnswerEvent:1; argumentationEvent:2; argumentationNodeEvent:25; argumentationToolEvent:4; chatEvent:30; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:12
wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc,MainMenu,2026-09-04T18:32:35.150000+00:00,2026-09-04T18:32:35.150000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc,Unit 3 Dev,2026-09-04T18:32:40.607000+00:00,2026-09-04T18:46:11.658000+00:00,13m 31s,811.1,503,DialogueEvent:172; InputEvent:189; ObjectInterEvent:6; PlayerPositionEvent:81; Soil Key Puzzle:12; TopographicMapEvent:2; argumentationAnswerEvent:1; argumentationEvent:3; argumentationNodeEvent:21; argumentationToolEvent:6; gameWindowFocusEvent:2; gameWindowUnfocusEvent:3; questEvent:5
wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc,MainMenu,2026-09-04T18:46:36.135000+00:00,2026-09-04T18:46:36.135000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc,Unit 3 Dev,2026-09-04T18:46:38.313000+00:00,2026-09-04T18:46:53.178000+00:00,14.9s,14.9,10,DEBUGMenu:2; DialogueEvent:3; InputEvent:2; PlayerPositionEvent:1; questEvent:2
wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc,Unit 3 Dungeon Dev,2026-09-04T18:46:54.620000+00:00,2026-09-04T18:52:32.131000+00:00,5m 37s,337.5,412,DialogueEvent:115; InputEvent:147; ObjectInterEvent:24; PlayerPositionEvent:34; PuzzlePieceVisibleEvent:90; questEvent:2
wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc,Unit 3 Dev,2026-09-04T18:52:33.936000+00:00,2026-09-04T18:55:26.250000+00:00,2m 52s,172.3,156,DaniEvent:2; DialogueEvent:90; EndOfUnit:1; InputEvent:31; ObjectInterEvent:5; PlayerPositionEvent:17; TopographicMapEvent:6; questEvent:4
