session,sceneName,first_timestamp,last_timestamp,duration,duration_s,n_events,event_types
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,MainMenu,2026-08-13T15:29:38.853000+00:00,2026-08-13T15:29:38.853000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Unit 1 Dev,2026-08-13T15:29:44.740000+00:00,2026-08-13T15:47:02.501000+00:00,17m 17s,1037.8,469,DaniEvent:20; DialogueEvent:148; InputEvent:126; ObjectInterEvent:14; PlayerPositionEvent:75; TopographicMapEvent:5; argumentationAnswerEvent:2; argumentationEvent:4; argumentationNodeEvent:26; argumentationToolEvent:3; chatEvent:16; gameWindowFocusEvent:9; gameWindowUnfocusEvent:10; questEvent:11
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,MainMenu,2026-08-13T15:48:20.626000+00:00,2026-08-13T15:48:20.626000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Unit 2 Prod (Refactor),2026-08-13T15:48:25.725000+00:00,2026-08-13T15:51:36.545000+00:00,3m 10s,190.8,125,DaniEvent:6; DialogueEvent:43; InputEvent:49; ObjectInterEvent:2; PlayerPositionEvent:20; PuzzlePieceVisibleEvent:2; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:1
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,MainMenu,2026-08-13T15:52:43.313000+00:00,2026-08-13T15:52:43.313000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Unit 3 Dev,2026-08-13T15:52:45.548000+00:00,2026-08-13T16:07:35.735000+00:00,14m 50s,890.2,646,DaniEvent:12; DialogueEvent:195; InputEvent:275; ObjectInterEvent:1; PlayerPositionEvent:84; Soil Key Puzzle:12; TopographicMapEvent:5; argumentationAnswerEvent:1; argumentationEvent:3; argumentationNodeEvent:39; argumentationToolEvent:6; gameWindowFocusEvent:4; gameWindowUnfocusEvent:4; questEvent:5
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Unit 3 Dungeon Dev,2026-08-13T16:07:38.143000+00:00,2026-08-13T16:16:58.686000+00:00,9m 20s,560.5,486,DaniEvent:2; DialogueEvent:118; InputEvent:183; ObjectInterEvent:14; PlayerPositionEvent:57; PuzzlePieceVisibleEvent:104; gameWindowFocusEvent:3; gameWindowUnfocusEvent:3; questEvent:2
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Unit 3 Dev,2026-08-13T16:17:09.591000+00:00,2026-08-13T16:22:27.482000+00:00,5m 17s,317.9,231,DaniEvent:13; DialogueEvent:110; InputEvent:50; PlayerPositionEvent:25; TopographicMapEvent:21; argumentationNodeEvent:6; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:4
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,MainMenu,2026-08-13T16:23:40.896000+00:00,2026-08-13T16:23:40.896000+00:00,0.0s,0.0,1,gameStartEvent:1
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Unit 4 Dev,2026-08-13T16:23:45.886000+00:00,2026-08-13T16:30:01.095000+00:00,6m 15s,375.2,203,DEBUGMenu:2; DaniEvent:4; DialogueEvent:20; InputEvent:61; ObjectInterEvent:1; PlayerPositionEvent:38; PuzzlePieceVisibleEvent:54; Soil Key Puzzle:14; gameWindowFocusEvent:4; gameWindowUnfocusEvent:4; questEvent:1
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Unit 4 Dev - Dungeon,2026-08-13T16:30:02.283000+00:00,2026-08-13T16:37:22.293000+00:00,7m 20s,440.0,590,DaniEvent:4; DialogueEvent:114; InputEvent:388; ObjectInterEvent:22; PlayerPositionEvent:44; gameWindowFocusEvent:2; gameWindowUnfocusEvent:2; questEvent:9; soilMachine:5
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Unit 4 Dev,2026-08-13T16:37:23.755000+00:00,2026-08-13T16:40:18.909000+00:00,2m 55s,175.2,300,DaniEvent:4; DialogueEvent:59; InputEvent:28; PlayerPositionEvent:18; PuzzlePieceVisibleEvent:186; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:3
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Unit 4 Dev - Anderson Base,2026-08-13T16:40:21.337000+00:00,2026-08-13T16:44:08.240000+00:00,3m 46s,226.9,167,DaniEvent:6; DialogueEvent:71; InputEvent:27; PlayerPositionEvent:23; argumentationAnswerEvent:1; argumentationEvent:3; argumentationNodeEvent:33; gameWindowUnfocusEvent:1; questEvent:2
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Transition,2026-08-13T16:44:16.192000+00:00,2026-08-13T16:44:16.192000+00:00,0.0s,0.0,1,gameWindowFocusEvent:1
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Unit 4 Dev,2026-08-13T16:44:17.750000+00:00,2026-08-13T16:52:49.465000+00:00,8m 31s,511.7,258,DaniEvent:4; DialogueEvent:153; EndOfUnit:1; InputEvent:36; PlayerPositionEvent:52; TerasGardenBox:6; gameWindowFocusEvent:1; gameWindowUnfocusEvent:1; questEvent:4
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,Transition,2026-08-13T16:52:56.609000+00:00,2026-08-13T16:52:56.609000+00:00,0.0s,0.0,1,gameWindowUnfocusEvent:1
wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963,MainMenu,2026-08-13T16:55:31.496000+00:00,2026-08-13T16:55:31.496000+00:00,0.0s,0.0,1,gameStartEvent:1
