eventType,n_intervals,interval_min_s,interval_p5_s,interval_p25_s,interval_median_s,interval_mean_s,interval_p75_s,interval_p95_s,interval_max_s,records_per_active_minute,burst_pairs,long_gaps
PuzzlePieceVisibleEvent,4445,0.0,0.0,0.0,0.019,14.048,0.099,0.817,47017.865,4.27,2926,6
InputEvent,2743,0.0,0.066,0.216,0.484,23.972,1.226,19.491,46441.357,2.5,115,4
DialogueEvent,2202,0.0,0.001,0.002,3.493,30.561,8.644,25.258,46429.695,1.96,680,3
PlayerPositionEvent,1609,9.985,9.988,9.989,10.005,39.678,10.005,10.006,46425.155,1.51,0,2
argumentationNodeEvent,503,0.016,0.016,0.033,0.218,127.227,0.885,11.289,51883.11,0.47,161,4
ObjectInterEvent,253,0.0,1.004,2.067,4.07,259.67,29.477,361.294,48071.817,0.23,3,5
TopographicMapEvent,79,0.003,0.449,0.75,2.169,728.236,8.378,739.914,46818.165,0.08,2,5
Soil Key Puzzle,73,0.167,0.237,0.534,0.884,793.431,2.685,23.085,48068.832,0.08,0,3
questEvent,69,0.0,0.001,56.578,172.948,971.703,304.525,1093.818,47486.885,0.06,13,8
gameWindowFocusEvent,68,4.432,10.481,53.32,181.281,984.533,399.382,1097.769,46711.445,0.06,0,9
gameWindowUnfocusEvent,63,2.2,6.694,52.102,167.395,1062.347,436.361,1112.493,46849.131,0.06,0,10
WaterChamberEvent,46,0.784,1.322,2.204,6.144,12.689,14.169,54.938,69.234,4.73,0,0
soilMachine,42,0.568,0.669,1.042,1.434,9.443,3.268,26.941,152.974,6.35,0,0
argumentationAnswerEvent,36,9.855,10.634,14.899,20.302,1777.832,33.817,4369.902,51905.155,0.03,0,4
argumentationEvent,13,0.015,0.015,35.852,158.479,4926.077,2462.218,23532.683,51879.024,0.01,2,4
DEBUGMenu,12,648.578,660.052,710.079,986.431,5432.491,1611.812,25478.452,48598.145,0.01,0,12
argumentationToolEvent,8,0.417,0.434,0.629,15.322,7982.08,1808.666,39339.798,56784.297,0.01,0,2
gameStartEvent,6,1356.295,1421.159,2096.796,3811.132,10866.296,5525.7,37949.187,48596.641,0.01,0,6
TerasGardenBox,5,0.917,0.93,0.984,1.434,13.296,22.027,37.301,41.12,4.51,0,0
EndOfUnit,4,2318.197,2555.8,3506.214,4953.498,16116.617,17563.9,45305.799,52241.274,0.0,0,4
SolarStillDesignEvent,3,0.934,0.952,1.026,1.117,1.169,1.286,1.421,1.455,51.34,0,0
DaniEvent,1,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,59.06,0,0
chatEvent,1,991.195,991.195,991.195,991.195,991.195,991.195,991.195,991.195,0.06,0,1
