eventType,field_path,records_present,records_total,types,null_count,empty_string_count,unique_values,values_truncated,numeric_range
DEBUGMenu,data.actionType,13,13,string:13,0,0,1,False,
DEBUGMenu,data.isOpened,13,13,bool:13,0,0,1,False,
DaniEvent,data.actionType,2,2,string:2,0,0,2,False,
DaniEvent,data.toolName,2,2,string:2,0,2,1,False,
DialogueEvent,data.conversationId,2203,2203,number:2203,0,0,57,False,8 .. 118
DialogueEvent,data.dialogueEventType,2203,2203,string:2203,0,0,3,False,
DialogueEvent,data.nodeId,1347,2203,number:1347,0,0,227,False,0 .. 290
EndOfUnit,data.Unit,5,5,string:5,0,0,5,False,
InputEvent,data.Value,2744,2744,string:2744,0,0,1,False,
InputEvent,data.actionType,2744,2744,string:2744,0,0,8,False,
InputEvent,data.key,2744,2744,string:2744,0,2,11,False,
InputEvent,data.playerOrDrone,2744,2744,string:2744,0,0,2,False,
ObjectInterEvent,data.actionType,254,254,string:254,0,0,40,False,
ObjectInterEvent,data.objectName,254,254,string:254,0,0,101,False,
PlayerPositionEvent,data.position,1621,1621,object:1621,0,0,0,False,
PlayerPositionEvent,data.position.x,1621,1621,number:1621,0,0,458,False,-687.837 .. 1558.47
PlayerPositionEvent,data.position.y,1621,1621,number:1621,0,0,356,False,-112.488 .. 222.252
PlayerPositionEvent,data.position.z,1621,1621,number:1621,0,0,458,False,-1027.81 .. 2233.65
PuzzlePieceVisibleEvent,data.actionType,4446,4446,string:4446,0,0,4,False,
PuzzlePieceVisibleEvent,data.pieceId,4446,4446,string:4446,0,0,40,False,
PuzzlePieceVisibleEvent,data.timestamp,4446,4446,string:4446,0,0,2000,True,
Soil Key Puzzle,data.Soil Key Puzzle Status,8,74,string:8,0,0,2,False,
Soil Key Puzzle,data.Unit,8,74,string:8,0,0,3,False,
Soil Key Puzzle,data.actionType,66,74,string:66,0,0,2,False,
Soil Key Puzzle,data.currentSoilType,66,74,string:66,0,0,7,False,
Soil Key Puzzle,data.isCorrectSelection,66,74,string:66,0,0,2,False,
Soil Key Puzzle,data.waterLevelStatus,66,74,string:66,0,0,3,False,
Soil Key Puzzle,data.waterRetentionChange,66,74,string:66,0,0,3,False,
SolarStillDesignEvent,data.actionType,4,4,string:4,0,0,2,False,
SolarStillDesignEvent,data.designSelections,1,4,object:1,0,0,0,False,
SolarStillDesignEvent,data.designSelections.glassRoofTemperature,1,4,string:1,0,0,1,False,
SolarStillDesignEvent,data.designSelections.roofCovering,1,4,string:1,0,0,1,False,
SolarStillDesignEvent,data.designSelections.roofStyle,1,4,string:1,0,0,1,False,
SolarStillDesignEvent,data.featureUsed,4,4,string:4,0,0,4,False,
SolarStillDesignEvent,data.selectedOption,3,4,string:3,0,0,3,False,
TerasGardenBox,data.actionType,6,6,string:6,0,3,2,False,
TerasGardenBox,data.boxId,6,6,string:6,0,0,3,False,
TerasGardenBox,data.soilType,6,6,string:6,0,0,3,False,
TopographicMapEvent,data.actionType,80,80,string:80,0,0,6,False,
TopographicMapEvent,data.featureUsed,80,80,string:80,0,0,3,False,
TopographicMapEvent,data.legendName,5,80,string:5,0,0,3,False,
TopographicMapEvent,data.location,35,80,object:35,0,0,0,False,
TopographicMapEvent,data.location.x,35,80,number:35,0,0,30,False,-355.498 .. 523.898
TopographicMapEvent,data.location.y,35,80,number:35,0,0,32,False,-270.416 .. 300.5
TopographicMapEvent,data.location.z,35,80,number:35,0,0,1,False,0 .. 0
WaterChamberEvent,data.actionType,47,47,string:47,0,0,2,False,
WaterChamberEvent,data.floor,47,47,string:47,0,0,4,False,
WaterChamberEvent,data.machineNumber,47,47,string:47,0,0,2,False,
WaterChamberEvent,data.machineType,47,47,string:47,0,0,5,False,
WaterChamberEvent,data.room,47,47,string:47,0,0,4,False,
argumentationAnswerEvent,data.actionType,37,37,string:37,0,0,1,False,
argumentationAnswerEvent,data.answerSubmitted,37,37,string:37,0,1,29,False,
argumentationAnswerEvent,data.argumentationTitle,37,37,string:37,0,0,6,False,
argumentationEvent,data.actionType,14,14,string:14,0,0,2,False,
argumentationEvent,data.argumentationDescription,14,14,string:14,0,0,6,False,
argumentationEvent,data.argumentationTitle,14,14,string:14,0,0,6,False,
argumentationNodeEvent,data.actionType,504,504,string:504,0,0,4,False,
argumentationNodeEvent,data.argumentationTitle,504,504,string:504,0,0,6,False,
argumentationNodeEvent,data.nodeName,504,504,string:504,0,0,11,False,
argumentationToolEvent,data.actionType,9,9,string:9,0,0,2,False,
argumentationToolEvent,data.argumentationTitle,9,9,string:9,0,0,3,False,
argumentationToolEvent,data.toolName,9,9,string:9,0,0,5,False,
chatEvent,data.actionType,2,2,string:2,0,0,1,False,
chatEvent,data.chatID,2,2,string:2,0,0,1,False,
gameStartEvent,data.<empty>,7,7,bool:7,0,0,1,False,
gameWindowFocusEvent,data.<empty>,69,69,bool:69,0,0,1,False,
gameWindowUnfocusEvent,data.<empty>,64,64,bool:64,0,0,1,False,
questEvent,data.questEventType,70,70,string:70,0,0,2,False,
questEvent,data.questID,70,70,string:70,0,0,34,False,
questEvent,data.questName,70,70,string:70,0,0,34,False,
questEvent,data.questSuccessOrFailure,31,70,string:31,0,0,1,False,
soilMachine,data.actionType,43,43,string:43,0,0,1,False,
soilMachine,data.canisterType,43,43,string:43,0,0,4,False,
soilMachine,data.floor,43,43,string:43,0,0,3,False,
soilMachine,data.machine,43,43,string:43,0,0,2,False,
soilMachine,data.row,43,43,string:43,0,0,2,False,
