status,severity,category,event_type,field,summary,observed,expected,evidence,examples,spec_source
WARNING,Medium,duplicates,DialogueEvent,,"exact duplicate records (same timestamp, scene and data)","1 group(s), 1 redundant record(s)",each gameplay moment logged once,,wenyi091426-3.stratalog.logdata.json[4767] _id=6aaace39485cab4c95455c0c ts=2026-09-16T17:13:29.2520000Z == wenyi091426-3.stratalog.logdata.json[4766] _id=6aaace39485cab4c95455c0e ts=2026-09-16T17:13:29.2520000Z,
WARNING,Medium,duplicates,InputEvent,,"exact duplicate records (same timestamp, scene and data)","2 group(s), 2 redundant record(s)",each gameplay moment logged once,,wenyi091426-3.stratalog.logdata.json[11207] _id=6aa9edf7485cab4c9544fb75 ts=2026-09-16T01:16:39.5880000Z == wenyi091426-3.stratalog.logdata.json[11208] _id=6aa9edf7485cab4c9544fb77 ts=2026-09-16T01:16:39.5880000Z | wenyi091426-3.stratalog.logdata.json[10972] _id=6aa9ee17485cab4c9544fd71 ts=2026-09-16T01:17:11.5200000Z == wenyi091426-3.stratalog.logdata.json[10971] _id=6aa9ee17485cab4c9544fd73 ts=2026-09-16T01:17:11.5200000Z,
WARNING,Medium,duplicates,ObjectInterEvent,,"exact duplicate records (same timestamp, scene and data)","2 group(s), 2 redundant record(s)",each gameplay moment logged once,,wenyi091426-3.stratalog.logdata.json[2462] _id=6aaad98b485cab4c95456e22 ts=2026-09-16T18:01:47.5830000Z == wenyi091426-3.stratalog.logdata.json[2463] _id=6aaad98b485cab4c95456e24 ts=2026-09-16T18:01:47.5830000Z | wenyi091426-3.stratalog.logdata.json[2425] _id=6aaada1e485cab4c95456e6e ts=2026-09-16T18:04:14.8050000Z == wenyi091426-3.stratalog.logdata.json[2424] _id=6aaada1e485cab4c95456e70 ts=2026-09-16T18:04:14.8050000Z,
WARNING,Medium,duplicates,PuzzlePieceVisibleEvent,,"exact duplicate records (same timestamp, scene and data)","87 group(s), 129 redundant record(s)",each gameplay moment logged once,,wenyi091426-3.stratalog.logdata.json[11637] _id=6aa9edd0485cab4c9544f883 ts=2026-09-16T01:14:55.4080000Z == wenyi091426-3.stratalog.logdata.json[11638] _id=6aa9edd0485cab4c9544f885 ts=2026-09-16T01:14:55.4080000Z | wenyi091426-3.stratalog.logdata.json[11633] _id=6aa9edd0485cab4c9544f887 ts=2026-09-16T01:14:55.4080000Z == wenyi091426-3.stratalog.logdata.json[11635] _id=6aa9edd0485cab4c9544f889 ts=2026-09-16T01:14:55.4080000Z | wenyi091426-3.stratalog.logdata.json[11586] _id=6aa9edc8485cab4c9544f82f ts=2026-09-16T01:15:52.3020000Z == wenyi091426-3.stratalog.logdata.json[11587] _id=6aa9edc8485cab4c9544f831 ts=2026-09-16T01:15:52.3020000Z,
WARNING,Medium,duplicates,questEvent,,"exact duplicate records (same timestamp, scene and data)","1 group(s), 1 redundant record(s)",each gameplay moment logged once,,wenyi091426-3.stratalog.logdata.json[99] _id=6aaae70d485cab4c9545809c ts=2026-09-16T18:59:25.5170000Z == wenyi091426-3.stratalog.logdata.json[98] _id=6aaae70d485cab4c9545809e ts=2026-09-16T18:59:25.5170000Z,
WARNING,Medium,regression,DEBUGMenu,,median interval between records changed substantially,986.431s median,7.86s in 09-03-26-2,regression candidate requiring review,,
WARNING,Medium,regression,DaniEvent,,median interval between records changed substantially,1.016s median,2.369s in 09-03-26-2,regression candidate requiring review,,
WARNING,Medium,regression,DialogueEvent,,median interval between records changed substantially,3.493s median,0.667s in 09-03-26-2,regression candidate requiring review,,
WARNING,Medium,regression,EndOfUnit,,median interval between records changed substantially,4953.498s median,1864.391s in 09-03-26-2,regression candidate requiring review,,
WARNING,Medium,regression,TerasGardenBox,,median interval between records changed substantially,1.434s median,8.004s in 09-03-26-2,regression candidate requiring review,,
