kind,eventType,ref,scene,data
exact,DialogueEvent,wenyi091426-3.stratalog.logdata.json[4767] _id=6aaace39485cab4c95455c0c ts=2026-09-16T17:13:29.2520000Z,Unit 3 Dev,"{""conversationId"": 73, ""dialogueEventType"": ""DialogueNodeEvent"", ""nodeId"": 168}"
exact,DialogueEvent,wenyi091426-3.stratalog.logdata.json[4766] _id=6aaace39485cab4c95455c0e ts=2026-09-16T17:13:29.2520000Z,Unit 3 Dev,"{""conversationId"": 73, ""dialogueEventType"": ""DialogueNodeEvent"", ""nodeId"": 168}"
exact,InputEvent,wenyi091426-3.stratalog.logdata.json[11207] _id=6aa9edf7485cab4c9544fb75 ts=2026-09-16T01:16:39.5880000Z,Unit 2 Prod (Refactor),"{""Value"": ""pressed"", ""actionType"": ""Sprint"", ""key"": ""leftShift"", ""playerOrDrone"": ""Player""}"
exact,InputEvent,wenyi091426-3.stratalog.logdata.json[11208] _id=6aa9edf7485cab4c9544fb77 ts=2026-09-16T01:16:39.5880000Z,Unit 2 Prod (Refactor),"{""Value"": ""pressed"", ""actionType"": ""Sprint"", ""key"": ""leftShift"", ""playerOrDrone"": ""Player""}"
exact,InputEvent,wenyi091426-3.stratalog.logdata.json[10972] _id=6aa9ee17485cab4c9544fd71 ts=2026-09-16T01:17:11.5200000Z,Unit 2 Prod (Refactor),"{""Value"": ""pressed"", ""actionType"": ""Sprint"", ""key"": ""leftShift"", ""playerOrDrone"": ""Player""}"
exact,InputEvent,wenyi091426-3.stratalog.logdata.json[10971] _id=6aa9ee17485cab4c9544fd73 ts=2026-09-16T01:17:11.5200000Z,Unit 2 Prod (Refactor),"{""Value"": ""pressed"", ""actionType"": ""Sprint"", ""key"": ""leftShift"", ""playerOrDrone"": ""Player""}"
exact,ObjectInterEvent,wenyi091426-3.stratalog.logdata.json[2462] _id=6aaad98b485cab4c95456e22 ts=2026-09-16T18:01:47.5830000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi091426-3.stratalog.logdata.json[2463] _id=6aaad98b485cab4c95456e24 ts=2026-09-16T18:01:47.5830000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi091426-3.stratalog.logdata.json[2425] _id=6aaada1e485cab4c95456e6e ts=2026-09-16T18:04:14.8050000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
exact,ObjectInterEvent,wenyi091426-3.stratalog.logdata.json[2424] _id=6aaada1e485cab4c95456e70 ts=2026-09-16T18:04:14.8050000Z,Unit 4 Dev - Anderson Base,"{""actionType"": ""Press E to use"", ""objectName"": ""Use Elevator""}"
near,ObjectInterEvent,wenyi091426-3.stratalog.logdata.json[12192] _id=6aa9e7ae485cab4c9544e87b ts=2026-09-16T00:49:50.7910000Z ~ wenyi091426-3.stratalog.logdata.json[12191] _id=6aa9e7ae485cab4c9544e87d ts=2026-09-16T00:49:50.7920000Z (1ms),Unit 1 Dev,"{""actionType"": ""Press E to Open Locker"", ""objectName"": ""Player Locker""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11637] _id=6aa9edd0485cab4c9544f883 ts=2026-09-16T01:14:55.4080000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Topography Slot 1"", ""timestamp"": ""2026-09-16T01:14:55.4080000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11638] _id=6aa9edd0485cab4c9544f885 ts=2026-09-16T01:14:55.4080000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Topography Slot 1"", ""timestamp"": ""2026-09-16T01:14:55.4080000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11633] _id=6aa9edd0485cab4c9544f887 ts=2026-09-16T01:14:55.4080000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Slot 1"", ""timestamp"": ""2026-09-16T01:14:55.4100000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11635] _id=6aa9edd0485cab4c9544f889 ts=2026-09-16T01:14:55.4080000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Slot 1"", ""timestamp"": ""2026-09-16T01:14:55.4100000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11586] _id=6aa9edc8485cab4c9544f82f ts=2026-09-16T01:15:52.3020000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T01:15:52.3020000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11587] _id=6aa9edc8485cab4c9544f831 ts=2026-09-16T01:15:52.3020000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T01:15:52.3020000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11570] _id=6aa9edca485cab4c9544f859 ts=2026-09-16T01:15:53.8000000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T01:15:53.8000000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11569] _id=6aa9edca485cab4c9544f85b ts=2026-09-16T01:15:53.8000000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T01:15:53.8000000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11567] _id=6aa9edcb485cab4c9544f85f ts=2026-09-16T01:15:53.8160000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T01:15:53.8160000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11564] _id=6aa9edcb485cab4c9544f861 ts=2026-09-16T01:15:53.8160000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T01:15:53.8160000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11566] _id=6aa9edcb485cab4c9544f863 ts=2026-09-16T01:15:53.8160000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T01:15:53.8160000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11552] _id=6aa9edd2485cab4c9544f8c5 ts=2026-09-16T01:15:58.3710000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Piece 1"", ""timestamp"": ""2026-09-16T01:15:58.3710000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11553] _id=6aa9edd2485cab4c9544f8c7 ts=2026-09-16T01:15:58.3710000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Piece 1"", ""timestamp"": ""2026-09-16T01:15:58.3710000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11239] _id=6aa9edf5485cab4c9544fb4d ts=2026-09-16T01:16:36.8680000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Topography Slot 3"", ""timestamp"": ""2026-09-16T01:16:36.8680000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11240] _id=6aa9edf5485cab4c9544fb4f ts=2026-09-16T01:16:36.8680000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Topography Slot 3"", ""timestamp"": ""2026-09-16T01:16:36.8680000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11106] _id=6aa9ee0c485cab4c9544fc79 ts=2026-09-16T01:17:00.0970000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Slot 2"", ""timestamp"": ""2026-09-16T01:17:00.0970000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[11105] _id=6aa9ee0c485cab4c9544fc7b ts=2026-09-16T01:17:00.0970000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Slot 2"", ""timestamp"": ""2026-09-16T01:17:00.0970000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[10927] _id=6aa9ee1b485cab4c9544fded ts=2026-09-16T01:17:13.4540000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Piece 3"", ""timestamp"": ""2026-09-16T01:17:13.4540000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[10928] _id=6aa9ee1b485cab4c9544fdef ts=2026-09-16T01:17:13.4540000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Topography Piece 3"", ""timestamp"": ""2026-09-16T01:17:13.4540000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9116] _id=6aaaac39485cab4c95453a0e ts=2026-09-16T14:48:24.7420000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:24.7420000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9118] _id=6aaaac39485cab4c95453a10 ts=2026-09-16T14:48:24.7420000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:24.7420000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9115] _id=6aaaac39485cab4c95453a12 ts=2026-09-16T14:48:24.7420000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:24.7420000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9117] _id=6aaaac39485cab4c95453a14 ts=2026-09-16T14:48:24.7420000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:24.7420000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9110] _id=6aaaac39485cab4c95453a1c ts=2026-09-16T14:48:24.9740000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:24.9740000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9109] _id=6aaaac39485cab4c95453a1e ts=2026-09-16T14:48:24.9740000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:24.9740000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9106] _id=6aaaac39485cab4c95453a20 ts=2026-09-16T14:48:25.0400000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:25.0400000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9107] _id=6aaaac39485cab4c95453a24 ts=2026-09-16T14:48:25.0400000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:25.0400000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9108] _id=6aaaac3a485cab4c95453a26 ts=2026-09-16T14:48:25.0400000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:25.0400000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9102] _id=6aaaac3b485cab4c95453a2e ts=2026-09-16T14:48:25.5570000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:25.5570000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9101] _id=6aaaac3b485cab4c95453a30 ts=2026-09-16T14:48:25.5570000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:48:25.5570000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9042] _id=6aaaacb3485cab4c95453aa6 ts=2026-09-16T14:50:26.8340000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:26.8340000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9041] _id=6aaaacb3485cab4c95453aaa ts=2026-09-16T14:50:26.8340000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:26.8340000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9038] _id=6aaaacb3485cab4c95453aac ts=2026-09-16T14:50:26.8340000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:26.8340000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9040] _id=6aaaacb3485cab4c95453aae ts=2026-09-16T14:50:26.8340000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:26.8340000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[9039] _id=6aaaacb4485cab4c95453ab0 ts=2026-09-16T14:50:26.8340000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:26.8340000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8981] _id=6aaaacba485cab4c95453b20 ts=2026-09-16T14:50:32.6700000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:32.6700000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8983] _id=6aaaacba485cab4c95453b22 ts=2026-09-16T14:50:32.6700000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:32.6700000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8984] _id=6aaaacba485cab4c95453b24 ts=2026-09-16T14:50:32.6700000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:32.6700000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8951] _id=6aaaacbd485cab4c95453b60 ts=2026-09-16T14:50:35.5870000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:35.5870000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8950] _id=6aaaacbd485cab4c95453b62 ts=2026-09-16T14:50:35.5870000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameInvisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:35.5870000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8880] _id=6aaaacc4485cab4c95453be6 ts=2026-09-16T14:50:43.9430000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:43.9430000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8881] _id=6aaaacc4485cab4c95453be8 ts=2026-09-16T14:50:43.9430000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:43.9430000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8874] _id=6aaaacc5485cab4c95453bf0 ts=2026-09-16T14:50:43.9930000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:43.9930000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8875] _id=6aaaacc5485cab4c95453bf4 ts=2026-09-16T14:50:43.9930000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameVisible"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:43.9930000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8793] _id=6aaaacd1485cab4c95453c98 ts=2026-09-16T14:50:55.4320000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:55.4320000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8795] _id=6aaaacd1485cab4c95453c9c ts=2026-09-16T14:50:55.4320000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:55.4320000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8784] _id=6aaaacd3485cab4c95453cae ts=2026-09-16T14:50:57.6830000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:57.6830000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8783] _id=6aaaacd3485cab4c95453cb0 ts=2026-09-16T14:50:57.6830000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:50:57.6830000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi091426-3.stratalog.logdata.json[8755] _id=6aaaace4485cab4c95453ce2 ts=2026-09-16T14:51:15.7580000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-16T14:51:15.7580000Z""}"
